state,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Fruithurst,98.2,0.0,1.1,0.4,0.0
AL,Fulton,84.9,11.0,0.0,0.7,3.3
AL,Fultondale,75.1,16.6,0.4,1.0,10.8
AL,Fyffe,94.0,0.3,1.5,0.7,1.3
AL,Gadsden,57.3,36.3,0.4,0.6,5.4
AL,Gainesville,16.3,82.2,0.0,0.0,0.0
AL,Gallant,96.7,0.2,0.6,0.0,1.6
AL,Gantt,77.0,23.0,0.0,0.0,0.0
AL,Garden City,98.2,0.2,0.4,0.0,0.4
AL,Gardendale,88.4,8.6,0.3,1.2,1.5
AL,Gaylesville,96.5,0.0,0.0,0.0,3.5
AL,Geiger,26.5,73.5,0.0,0.0,2.9
AL,Geneva,83.2,14.0,0.4,0.4,1.8
AL,Georgiana,33.1,65.4,0.3,0.1,0.3
AL,Geraldine,93.5,0.3,3.7,0.0,2.0
AL,Gilbertown,77.2,21.9,0.0,0.5,0.0
AL,Glen Allen,89.4,9.4,0.2,0.2,0.2
AL,Glencoe,96.5,1.3,0.3,0.5,0.8
AL,Glenwood,70.1,29.9,0.0,0.0,0.0
AL,Goldville,100.0,0.0,0.0,0.0,5.5
AL,Good Hope,92.7,0.3,0.4,0.5,7.7
AL,Goodwater,24.3,73.7,0.7,0.0,0.7
AL,Gordo,58.9,37.8,0.2,0.2,1.5
AL,Gordon,21.4,76.5,0.3,0.0,1.5
AL,Gordonville,5.2,94.8,0.0,0.0,0.0
AL,Goshen,76.7,22.6,0.4,0.0,0.0
AL,Graham,83.9,16.1,0.0,0.0,0.0
AL,Grand Bay,86.9,9.4,0.6,0.7,2.3
AL,Grant,98.1,0.0,0.0,0.4,1.3
AL,Grayson Valley,70.6,25.8,0.3,0.9,2.2
AL,Graysville,73.9,23.6,0.4,0.2,1.7
AL,Greensboro,32.0,66.5,0.2,0.8,0.5
AL,Greenville,41.7,55.5,0.0,1.8,1.3
AL,Grimes,55.9,36.7,0.0,0.0,2.9
AL,Grove Hill,56.6,41.3,0.3,0.3,2.0
AL,Guin,86.9,10.9,0.0,0.1,1.3
AL,Gulfcrest,88.2,3.1,5.6,0.0,1.2
AL,Gulf Shores,93.4,1.5,0.5,0.9,4.0
AL,Guntersville,85.8,7.8,0.5,1.5,3.8
AL,Gurley,76.3,17.1,1.7,1.2,3.5
AL,Gu-Win,85.8,5.1,4.0,0.0,4.0
AL,Hackleburg,97.7,0.1,0.2,0.0,1.3
AL,Hackneyville,97.7,0.9,0.3,1.2,0.3
AL,Haleburg,94.2,4.9,0.0,0.0,0.0
AL,Haleyville,92.1,0.7,1.0,0.5,6.0
AL,Hamilton,89.3,7.7,0.4,0.2,3.1
AL,Hammondville,90.0,0.8,0.2,0.6,6.8
AL,Hanceville,92.4,3.6,0.2,0.7,2.4
AL,Harpersville,73.1,23.5,0.3,0.7,2.6
AL,Hartford,77.9,17.9,0.6,0.1,3.1
AL,Hartselle,91.5,4.3,0.8,0.4,2.5
AL,Harvest,62.2,31.7,0.5,1.2,3.1
AL,Hatton,89.7,0.0,7.3,0.0,0.0
AL,Hayden,87.6,8.8,0.7,0.2,0.0
AL,Hayneville,15.0,84.5,0.0,0.0,0.1
AL,Hazel Green,88.9,5.9,1.5,0.4,2.3
AL,Headland,70.1,27.5,0.4,0.3,1.4
AL,Heath,88.6,10.6,0.0,0.0,1.2
AL,Heflin,87.3,9.4,0.5,0.1,2.4
AL,Helena,82.5,13.1,0.2,1.5,3.3
